--- SUMMARY ---
Metric,Value
Risk Score,78.9
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,Bello; Robledo; Envigado; Itagüí; Belén

--- ZONE RISKS ---
Zone,Risk Score
Bello,89
2024-09-02,A alias Abelito, presunto cabecilla de la banda Pachelly, la Policía lo capturó como regalo de cumpleaños,www.elcolombiano.com,0.9
2024-07-15,Así cayeron 17 presuntos extorsionistas de Los Pachelly en Bello, al norte de Medellín,www.infobae.com,0.9
2024-07-15,Fue capturado alias “El Negro”, cabecilla del Clan del Golfo en El Bagre, Antioquia,caracol.com.co,0.9
2024-07-13,Golpe a Los Pachelly: 17 miembros fueron capturados por cobrar extorsiones en Antioquia,www.infobae.com,0.9
2024-06-13,Capturaron en Bello a cabecillas de Los Pachelly por enviar cocaína a 3 continentes,caracol.com.co,0.9
2024-04-29,A “Pichi Belén”, histórico cabecilla de La Oficina, lo detuvieron, pero luego lo soltaron en El Poblado,www.elcolombiano.com,0.9
2024-03-09,Asesinato de Pichi Gordo, ¿otra venganza entre capos de La Oficina?,www.elcolombiano.com,0.9
2024-03-08,Sicariato en Medellín: asesinaron a alias Pichi Gordo, excabecilla de la banda La Oficina,www.infobae.com,0.9
2024-03-08,La violenta historia de ‘Pichi Gordo’, el excabecilla de la Oficina y la Terraza asesinado en Medellín,www.infobae.com,0.9
2024-03-08,Este era «Pichi Gordo» reconocido cabecilla de La Oficina y La Terraza asesinado ayer en Medellín,entrecejayceja.co,0.9
2023-09-29,Cayó en Medellín importante cabecilla del Clan del Golfo: así fue su captura,www.infobae.com,0.9
2023-09-13,Alias "Pipeta" reconocido jibaro del Clan de Golfo cayó en el municipio de Cañasgordas, Antioquia,www.alertapaisa.com,0.9
2023-09-12,Capturan a señalado cabecilla del Clan del Golfo en el Bajo Cauca,admin.qhubomedellin.com,0.9
2023-08-23,Impactante secuestro en Medellín: menor fue interceptado y cobraron $2 millones por su liberación,www.semana.com,0.9
2023-08-23,Impactante secuestro en Medellín: menor fue interceptado y cobraron $2 millones por su liberación,www.semana.com,0.9
2023-06-13,¿Quién es quién en el crimen organizado del Valle de Aburrá?,www.elcolombiano.com,0.9
2023-05-30,Obligar a niños a consumir drogas para luego convertirlos en jíbaros: la macabra estrategia del clan del Golfo en Antioquia,www.infobae.com,0.9
2023-03-01,Mataron a dos peces gordos del Clan del Golfo: ¿ajustes internos?,www.elcolombiano.com,0.9
2022-11-17,Cae banda de ‘Los Pachelly’,focusnoticias.com,0.9
2022-11-15,Capturado el presunto jefe de los Pachelly en Doradal Antioquia, mientras realizaba una fiesta para celebrar su cumpleaños,coosmovision.com,0.9
2021-11-01,El ajedrez del crimen organizado en el Aburrá,www.elcolombiano.com,0.9
2021-09-15,A la cárcel siete integrantes del grupo delincuencial 'Los Pachelly' por secuestros,diariolalibertad.com,0.9
2021-07-01,Suben muertes en nororiente de Medellín por crisis en "la Terraza" y un asesino en serie,www.elcolombiano.com,0.9
2018-07-11,Terror en la Comuna 13 de Medellín por toque de queda y fronteras invisibles,www.infobae.com,0.9
2017-12-10,Cayó el hombre más buscado de Medellín, alias «Tom»,www.eje21.com.co,0.9
